dataset,p,component_1,component_2
IWN,2,0.20067488,0.79932512
IWN,2,0.04625192,0.95374808
IWN,2,0.11296462,0.88703538
IWN,2,0.04973332,0.95026668
IWN,2,0.11629684,0.88370316
IWN,2,0.04898599,0.95101401
IWN,2,0.04477985,0.95522015
IWN,2,0.05849310,0.94150690
IWN,2,0.04661657,0.95338343
IWN,2,0.05296844,0.94703156
IWN,2,0.05783195,0.94216805
IWN,2,0.04889474,0.95110526
IWN,2,0.04976217,0.95023783
IWN,2,0.09633747,0.90366253
IWN,2,0.04742016,0.95257984
IWN,2,0.07392849,0.92607151
IWN,2,0.05012319,0.94987681
IWN,2,0.07113373,0.92886627
IWN,2,0.04721958,0.95278042
IWN,2,0.04517077,0.95482923
IWN,2,0.05081348,0.94918652
IWN,2,0.04639679,0.95360321
IWN,2,0.06702127,0.93297873
IWN,2,0.04463924,0.95536076
IWN,2,0.04791630,0.95208370
IWN,2,0.05860512,0.94139488
IWN,2,0.09770562,0.90229438
IWN,2,0.04484487,0.95515513
IWN,2,0.04467571,0.95532429
IWN,2,0.06845287,0.93154713
IWN,2,0.07981948,0.92018052
IWN,2,0.05645573,0.94354427
IWN,2,0.04540909,0.95459091
IWN,2,0.16422832,0.83577168
IWN,2,0.06116349,0.93883651
IWN,2,0.04605230,0.95394770
IWN,2,0.05425576,0.94574424
IWN,2,0.09665147,0.90334853
IWN,2,0.06281033,0.93718967
IWN,2,0.04460134,0.95539866
IWN,2,0.04614972,0.95385028
IWN,2,0.09187028,0.90812972
IWN,2,0.06485434,0.93514566
IWN,2,0.07692202,0.92307798
IWN,2,0.04487229,0.95512771
IWN,2,0.07128919,0.92871081
IWN,2,0.04720620,0.95279380
IWN,2,0.07440635,0.92559365
IWN,2,0.08387346,0.91612654
IWN,2,0.05213267,0.94786733
IWN,2,0.09956312,0.90043688
IWN,2,0.06556030,0.93443970
IWN,2,0.04650493,0.95349507
IWN,2,0.04536181,0.95463819
IWN,2,0.04916956,0.95083044
IWN,2,0.05047567,0.94952433
IWN,2,0.15165071,0.84834929
IWN,2,0.09855227,0.90144773
IWN,2,0.04524404,0.95475596
IWN,2,0.05212963,0.94787037
IWN,2,0.05516298,0.94483702
IWN,2,0.05373949,0.94626051
IWN,2,0.05869259,0.94130741
IWN,2,0.06664654,0.93335346
IWN,2,0.04500111,0.95499889
IWN,2,0.06045293,0.93954707
IWN,2,0.05424165,0.94575835
IWN,2,0.04457412,0.95542588
IWN,2,0.07434255,0.92565745
IWN,2,0.10339336,0.89660664
IWN,2,0.04903284,0.95096716
IWN,2,0.06662230,0.93337770
IWN,2,0.04512277,0.95487723
IWN,2,0.04675138,0.95324862
IWN,2,0.04515394,0.95484606
IWN,2,0.09801946,0.90198054
IWN,2,0.05202191,0.94797809
IWN,2,0.04458482,0.95541518
IWN,2,0.05479095,0.94520905
IWN,2,0.16285823,0.83714177
IWN,2,0.06121867,0.93878133
IWN,2,0.04607002,0.95392998
IWN,2,0.05048774,0.94951226
IWN,2,0.06246224,0.93753776
IWN,2,0.05334049,0.94665951
IWN,2,0.05455444,0.94544556
IWN,2,0.05790331,0.94209669
IWN,2,0.04563154,0.95436846
IWN,2,0.04495677,0.95504323
IWN,2,0.07034888,0.92965112
IWN,2,0.05124705,0.94875295
IWN,2,0.04455445,0.95544555
IWN,2,0.06365606,0.93634394
IWN,2,0.08574559,0.91425441
IWN,2,0.04494057,0.95505943
IWN,2,0.04655090,0.95344910
IWN,2,0.04524490,0.95475510
IWN,2,0.11411946,0.88588054
IWN,2,0.09699068,0.90300932
IWN,2,0.19221823,0.80778177
IWN,2,0.04813331,0.95186669
IWN,2,0.08277605,0.91722395
IWN,2,0.05850696,0.94149304
IWN,2,0.05758604,0.94241396
IWN,2,0.04531307,0.95468693
IWN,2,0.04902165,0.95097835
IWN,2,0.06943182,0.93056818
IWN,2,0.08791793,0.91208207
IWN,2,0.07245015,0.92754985
IWN,2,0.06269489,0.93730511
IWN,2,0.04495819,0.95504181
IWN,2,0.05626187,0.94373813
IWN,2,0.04534354,0.95465646
IWN,2,0.08937536,0.91062464
IWN,2,0.04537226,0.95462774
IWN,2,0.04528278,0.95471722
IWN,2,0.07063193,0.92936807
IWN,2,0.05180531,0.94819469
IWN,2,0.05545764,0.94454236
